record_id	record_name	field	url	outcome	http_status	final_url	content_type	page_title	error	checked_at
bfm-3d-molt5	3D-MolT5	code_links[0]	https://github.com/qizhipei/3d-molt5	reachable	206	https://github.com/qizhipei/3d-molt5	text/html	GitHub - QizhiPei/3D-MolT5: 3D-MolT5: Leveraging Discrete Structural Information for Molecule-Text Modeling (ICLR 2025) · GitHub		2026-07-14T07:13:59+00:00
bfm-3d-molt5	3D-MolT5	code_links[1]	https://huggingface.co/QizhiPei/3d-molt5-base	restricted	429	https://huggingface.co/QizhiPei/3d-molt5-base	text/html	429 – Hugging Face	HTTPError	2026-07-14T07:14:06+00:00
bfm-3d-molt5	3D-MolT5	paper_links[0]	https://openreview.net/forum?id=eGqQyTAbXC	reachable	200	https://openreview.net/challenge	text/html	Verifying your browser | OpenReview		2026-07-14T07:14:12+00:00
bfm-3d-molt5	3D-MolT5	sources[0]	https://openreview.net/forum?id=eGqQyTAbXC	reachable	200	https://openreview.net/challenge	text/html	Verifying your browser | OpenReview		2026-07-14T07:14:12+00:00
bfm-3d-molt5	3D-MolT5	sources[1]	https://github.com/qizhipei/3d-molt5	reachable	206	https://github.com/qizhipei/3d-molt5	text/html	GitHub - QizhiPei/3D-MolT5: 3D-MolT5: Leveraging Discrete Structural Information for Molecule-Text Modeling (ICLR 2025) · GitHub		2026-07-14T07:13:59+00:00
bfm-3d-molt5	3D-MolT5	sources[2]	https://huggingface.co/QizhiPei/3d-molt5-base	restricted	429	https://huggingface.co/QizhiPei/3d-molt5-base	text/html	429 – Hugging Face	HTTPError	2026-07-14T07:14:06+00:00
bfm-ab-roberta	Ab-RoBERTa	code_links[0]	https://huggingface.co/mogam-ai/Ab-RoBERTa	restricted	429	https://huggingface.co/mogam-ai/Ab-RoBERTa	text/html	429 – Hugging Face	HTTPError	2026-07-14T07:14:08+00:00
bfm-ab-roberta	Ab-RoBERTa	paper_links[0]	https://arxiv.org/abs/2506.13006	reachable	206	https://arxiv.org/abs/2506.13006	text/html	[2506.13006] Antibody Foundational Model : Ab-RoBERTa		2026-07-14T07:13:27+00:00
bfm-ab-roberta	Ab-RoBERTa	sources[0]	https://arxiv.org/abs/2506.13006	reachable	206	https://arxiv.org/abs/2506.13006	text/html	[2506.13006] Antibody Foundational Model : Ab-RoBERTa		2026-07-14T07:13:27+00:00
bfm-ab-roberta	Ab-RoBERTa	sources[1]	https://huggingface.co/mogam-ai/Ab-RoBERTa	restricted	429	https://huggingface.co/mogam-ai/Ab-RoBERTa	text/html	429 – Hugging Face	HTTPError	2026-07-14T07:14:08+00:00
bfm-ablang	AbLang	code_links[0]	https://github.com/oxpig/AbLang	reachable	206	https://github.com/oxpig/AbLang	text/html	GitHub - oxpig/AbLang: AbLang: A language model for antibodies · GitHub		2026-07-14T07:13:58+00:00
bfm-ablang	AbLang	paper_links[0]	https://academic.oup.com/bioinformaticsadvances/article/2/1/vbac046/6627685	restricted	403	https://academic.oup.com/bioinformaticsadvances/article/2/1/vbac046/6627685	text/html	Just a moment...	HTTPError	2026-07-14T07:13:23+00:00
bfm-ablang	AbLang	sources[0]	https://academic.oup.com/bioinformaticsadvances/article/2/1/vbac046/6627685	restricted	403	https://academic.oup.com/bioinformaticsadvances/article/2/1/vbac046/6627685	text/html	Just a moment...	HTTPError	2026-07-14T07:13:23+00:00
bfm-ablang	AbLang	sources[1]	https://github.com/oxpig/AbLang	reachable	206	https://github.com/oxpig/AbLang	text/html	GitHub - oxpig/AbLang: AbLang: A language model for antibodies · GitHub		2026-07-14T07:13:58+00:00
bfm-ablang2-tcrlang	AbLang2 / TCRLang	code_links[0]	https://github.com/oxpig/AbLang2	reachable	206	https://github.com/oxpig/AbLang2	text/html	GitHub - oxpig/AbLang2: An antibody-specific language model focusing on NGL prediction · GitHub		2026-07-14T07:13:58+00:00
bfm-ablang2-tcrlang	AbLang2 / TCRLang	paper_links[0]	https://www.biorxiv.org/content/10.1101/2024.02.02.578678	restricted	429	https://www.biorxiv.org/content/10.1101/2024.02.02.578678v1	text/html	Please Wait	HTTPError	2026-07-14T07:14:20+00:00
bfm-ablang2-tcrlang	AbLang2 / TCRLang	sources[0]	https://www.biorxiv.org/content/10.1101/2024.02.02.578678	restricted	429	https://www.biorxiv.org/content/10.1101/2024.02.02.578678v1	text/html	Please Wait	HTTPError	2026-07-14T07:14:20+00:00
bfm-ablang2-tcrlang	AbLang2 / TCRLang	sources[1]	https://github.com/oxpig/AbLang2	reachable	206	https://github.com/oxpig/AbLang2	text/html	GitHub - oxpig/AbLang2: An antibody-specific language model focusing on NGL prediction · GitHub		2026-07-14T07:13:58+00:00
bfm-ablingua	AbLingua	code_links[0]	https://huggingface.co/IDEA-AI4S/AbLingua	restricted	429	https://huggingface.co/IDEA-AI4S/AbLingua	text/html	429 – Hugging Face	HTTPError	2026-07-14T07:14:05+00:00
